Class 0:

Weight	Rule
-0.20571306347846985	5_11 | 5_12 & 5_14 | 5_13 & 5_14 | 5_14 & 5_16 | 5_14 & ~5_10 | 5_14 & ~5_15 | 5_14 & ~5_17 | 5_12 & 5_13 & 5_16 | 5_12 & 5_13 & ~5_10 | 5_12 & 5_13 & ~5_15 | 5_12 & 5_13 & ~5_17 | 5_12 & 5_16 & ~5_10 | 5_12 & 5_16 & ~5_17 | 5_12 & ~5_10 & ~5_15 | 5_12 & ~5_10 & ~5_17 | 5_12 & ~5_15 & ~5_17 | 5_13 & 5_16 & ~5_10 & ~5_17 | 5_13 & 5_16 & ~5_15 & ~5_17 | 5_13 & ~5_10 & ~5_15 & ~5_17 | 5_16 & ~5_10 & ~5_15 & ~5_17
0.08458324521780014	5_15 | 5_16 & 5_18 | 5_17 & 5_18 | 5_18 & 5_20 | 5_18 & ~5_14 | 5_18 & ~5_19 | 5_18 & ~5_22 | 5_16 & 5_17 & 5_20 | 5_16 & 5_17 & ~5_14 | 5_16 & 5_17 & ~5_19 | 5_16 & 5_17 & ~5_22 | 5_16 & 5_20 & ~5_14 | 5_16 & 5_20 & ~5_22 | 5_16 & ~5_14 & ~5_19 | 5_16 & ~5_14 & ~5_22 | 5_16 & ~5_19 & ~5_22 | 5_17 & 5_20 & ~5_14 & ~5_22 | 5_17 & 5_20 & ~5_19 & ~5_22 | 5_17 & ~5_14 & ~5_19 & ~5_22 | 5_20 & ~5_14 & ~5_19 & ~5_22
0.044795285910367966	5_19 | 5_20 & 5_23 | 5_22 & 5_23 | 5_23 & 5_25 | 5_23 & ~5_18 | 5_23 & ~5_24 | 5_23 & ~5_27 | 5_20 & 5_22 & 5_25 | 5_20 & 5_22 & ~5_18 | 5_20 & 5_22 & ~5_24 | 5_20 & 5_22 & ~5_27 | 5_20 & 5_25 & ~5_18 | 5_20 & 5_25 & ~5_27 | 5_20 & ~5_18 & ~5_24 | 5_20 & ~5_18 & ~5_27 | 5_20 & ~5_24 & ~5_27 | 5_22 & 5_25 & ~5_18 & ~5_27 | 5_22 & 5_25 & ~5_24 & ~5_27 | 5_22 & ~5_18 & ~5_24 & ~5_27 | 5_25 & ~5_18 & ~5_24 & ~5_27
0.31610241532325745	5_24 | 5_25 & 5_28 | 5_27 & 5_28 | 5_28 & 6_3 | 5_28 & ~5_23 | 5_28 & ~6_2 | 5_28 & ~6_4 | 5_25 & 5_27 & 6_3 | 5_25 & 5_27 & ~5_23 | 5_25 & 5_27 & ~6_2 | 5_25 & 5_27 & ~6_4 | 5_25 & 6_3 & ~5_23 | 5_25 & 6_3 & ~6_4 | 5_25 & ~5_23 & ~6_2 | 5_25 & ~5_23 & ~6_4 | 5_25 & ~6_2 & ~6_4 | 5_27 & 6_3 & ~5_23 & ~6_4 | 5_27 & 6_3 & ~6_2 & ~6_4 | 5_27 & ~5_23 & ~6_2 & ~6_4 | 6_3 & ~5_23 & ~6_2 & ~6_4
-0.015464400872588158	6_2 | 6_3 & 6_5 | 6_4 & 6_5 | 6_5 & 6_7 | 6_5 & ~5_28 | 6_5 & ~6_6 | 6_5 & ~6_8 | 6_3 & 6_4 & 6_7 | 6_3 & 6_4 & ~5_28 | 6_3 & 6_4 & ~6_6 | 6_3 & 6_4 & ~6_8 | 6_3 & 6_7 & ~5_28 | 6_3 & 6_7 & ~6_8 | 6_3 & ~5_28 & ~6_6 | 6_3 & ~5_28 & ~6_8 | 6_3 & ~6_6 & ~6_8 | 6_4 & 6_7 & ~5_28 & ~6_8 | 6_4 & 6_7 & ~6_6 & ~6_8 | 6_4 & ~5_28 & ~6_6 & ~6_8 | 6_7 & ~5_28 & ~6_6 & ~6_8
0.023146852850914	6_6 | 6_7 & 6_9 | 6_8 & 6_9 | 6_9 & 6_11 | 6_9 & ~6_5 | 6_9 & ~6_10 | 6_9 & ~6_13 | 6_7 & 6_8 & 6_11 | 6_7 & 6_8 & ~6_5 | 6_7 & 6_8 & ~6_10 | 6_7 & 6_8 & ~6_13 | 6_7 & 6_11 & ~6_5 | 6_7 & 6_11 & ~6_13 | 6_7 & ~6_5 & ~6_10 | 6_7 & ~6_5 & ~6_13 | 6_7 & ~6_10 & ~6_13 | 6_8 & 6_11 & ~6_5 & ~6_13 | 6_8 & 6_11 & ~6_10 & ~6_13 | 6_8 & ~6_5 & ~6_10 & ~6_13 | 6_11 & ~6_5 & ~6_10 & ~6_13
0.018685130402445793	6_10 | 6_11 & 6_14 | 6_13 & 6_14 | 6_14 & 6_20 | 6_14 & ~6_9 | 6_14 & ~6_17 | 6_14 & ~6_22 | 6_11 & 6_13 & 6_20 | 6_11 & 6_13 & ~6_9 | 6_11 & 6_13 & ~6_17 | 6_11 & 6_13 & ~6_22 | 6_11 & 6_20 & ~6_9 | 6_11 & 6_20 & ~6_22 | 6_11 & ~6_9 & ~6_17 | 6_11 & ~6_9 & ~6_22 | 6_11 & ~6_17 & ~6_22 | 6_13 & 6_20 & ~6_9 & ~6_22 | 6_13 & 6_20 & ~6_17 & ~6_22 | 6_13 & ~6_9 & ~6_17 & ~6_22 | 6_20 & ~6_9 & ~6_17 & ~6_22
0.039248254150152206	6_17 | 6_20 & 6_25 | 6_22 & 6_25 | 6_25 & 8_Anesthesiology | 6_25 & ~6_14 | 6_25 & ~8_AllergyandImmunology | 6_25 & ~8_Anesthesiology-Pediatric | 6_20 & 6_22 & 8_Anesthesiology | 6_20 & 6_22 & ~6_14 | 6_20 & 6_22 & ~8_AllergyandImmunology | 6_20 & 6_22 & ~8_Anesthesiology-Pediatric | 6_20 & 8_Anesthesiology & ~6_14 | 6_20 & 8_Anesthesiology & ~8_Anesthesiology-Pediatric | 6_20 & ~6_14 & ~8_AllergyandImmunology | 6_20 & ~6_14 & ~8_Anesthesiology-Pediatric | 6_20 & ~8_AllergyandImmunology & ~8_Anesthesiology-Pediatric | 6_22 & 8_Anesthesiology & ~6_14 & ~8_Anesthesiology-Pediatric | 6_22 & 8_Anesthesiology & ~8_AllergyandImmunology & ~8_Anesthesiology-Pediatric | 6_22 & ~6_14 & ~8_AllergyandImmunology & ~8_Anesthesiology-Pediatric | 8_Anesthesiology & ~6_14 & ~8_AllergyandImmunology & ~8_Anesthesiology-Pediatric
-0.016301516443490982	8_AllergyandImmunology | 8_Anesthesiology & 8_Cardiology | 8_Anesthesiology-Pediatric & 8_Cardiology | 8_Cardiology & 8_DCPTEAM | 8_Cardiology & ~6_25 | 8_Cardiology & ~8_Cardiology-Pediatric | 8_Cardiology & ~8_Dentistry | 8_Anesthesiology & 8_Anesthesiology-Pediatric & 8_DCPTEAM | 8_Anesthesiology & 8_Anesthesiology-Pediatric & ~6_25 | 8_Anesthesiology & 8_Anesthesiology-Pediatric & ~8_Cardiology-Pediatric | 8_Anesthesiology & 8_Anesthesiology-Pediatric & ~8_Dentistry | 8_Anesthesiology & 8_DCPTEAM & ~6_25 | 8_Anesthesiology & 8_DCPTEAM & ~8_Dentistry | 8_Anesthesiology & ~6_25 & ~8_Cardiology-Pediatric | 8_Anesthesiology & ~6_25 & ~8_Dentistry | 8_Anesthesiology & ~8_Cardiology-Pediatric & ~8_Dentistry | 8_Anesthesiology-Pediatric & 8_DCPTEAM & ~6_25 & ~8_Dentistry | 8_Anesthesiology-Pediatric & 8_DCPTEAM & ~8_Cardiology-Pediatric & ~8_Dentistry | 8_Anesthesiology-Pediatric & ~6_25 & ~8_Cardiology-Pediatric & ~8_Dentistry | 8_DCPTEAM & ~6_25 & ~8_Cardiology-Pediatric & ~8_Dentistry
-0.10827451199293137	8_Cardiology-Pediatric | 8_DCPTEAM & 8_Dermatology | 8_Dentistry & 8_Dermatology | 8_Dermatology & 8_Endocrinology | 8_Dermatology & ~8_Cardiology | 8_Dermatology & ~8_EmergencyTrauma | 8_Dermatology & ~8_Endocrinology-Metabolism | 8_DCPTEAM & 8_Dentistry & 8_Endocrinology | 8_DCPTEAM & 8_Dentistry & ~8_Cardiology | 8_DCPTEAM & 8_Dentistry & ~8_EmergencyTrauma | 8_DCPTEAM & 8_Dentistry & ~8_Endocrinology-Metabolism | 8_DCPTEAM & 8_Endocrinology & ~8_Cardiology | 8_DCPTEAM & 8_Endocrinology & ~8_Endocrinology-Metabolism | 8_DCPTEAM & ~8_Cardiology & ~8_EmergencyTrauma | 8_DCPTEAM & ~8_Cardiology & ~8_Endocrinology-Metabolism | 8_DCPTEAM & ~8_EmergencyTrauma & ~8_Endocrinology-Metabolism | 8_Dentistry & 8_Endocrinology & ~8_Cardiology & ~8_Endocrinology-Metabolism | 8_Dentistry & 8_Endocrinology & ~8_EmergencyTrauma & ~8_Endocrinology-Metabolism | 8_Dentistry & ~8_Cardiology & ~8_EmergencyTrauma & ~8_Endocrinology-Metabolism | 8_Endocrinology & ~8_Cardiology & ~8_EmergencyTrauma & ~8_Endocrinology-Metabolism
-0.09017599374055862	8_EmergencyTrauma | 8_Endocrinology & 8_FamilyGeneralPractice | 8_Endocrinology-Metabolism & 8_FamilyGeneralPractice | 8_FamilyGeneralPractice & 8_Gynecology | 8_FamilyGeneralPractice & ~8_Dermatology | 8_FamilyGeneralPractice & ~8_Gastroenterology | 8_FamilyGeneralPractice & ~8_Hematology | 8_Endocrinology & 8_Endocrinology-Metabolism & 8_Gynecology | 8_Endocrinology & 8_Endocrinology-Metabolism & ~8_Dermatology | 8_Endocrinology & 8_Endocrinology-Metabolism & ~8_Gastroenterology | 8_Endocrinology & 8_Endocrinology-Metabolism & ~8_Hematology | 8_Endocrinology & 8_Gynecology & ~8_Dermatology | 8_Endocrinology & 8_Gynecology & ~8_Hematology | 8_Endocrinology & ~8_Dermatology & ~8_Gastroenterology | 8_Endocrinology & ~8_Dermatology & ~8_Hematology | 8_Endocrinology & ~8_Gastroenterology & ~8_Hematology | 8_Endocrinology-Metabolism & 8_Gynecology & ~8_Dermatology & ~8_Hematology | 8_Endocrinology-Metabolism & 8_Gynecology & ~8_Gastroenterology & ~8_Hematology | 8_Endocrinology-Metabolism & ~8_Dermatology & ~8_Gastroenterology & ~8_Hematology | 8_Gynecology & ~8_Dermatology & ~8_Gastroenterology & ~8_Hematology
0.0487658828496933	8_Gastroenterology | 8_Gynecology & 8_HematologyOncology | 8_Hematology & 8_HematologyOncology | 8_HematologyOncology & 8_InfectiousDiseases | 8_HematologyOncology & ~8_FamilyGeneralPractice | 8_HematologyOncology & ~8_Hospitalist | 8_HematologyOncology & ~8_InternalMedicine | 8_Gynecology & 8_Hematology & 8_InfectiousDiseases | 8_Gynecology & 8_Hematology & ~8_FamilyGeneralPractice | 8_Gynecology & 8_Hematology & ~8_Hospitalist | 8_Gynecology & 8_Hematology & ~8_InternalMedicine | 8_Gynecology & 8_InfectiousDiseases & ~8_FamilyGeneralPractice | 8_Gynecology & 8_InfectiousDiseases & ~8_InternalMedicine | 8_Gynecology & ~8_FamilyGeneralPractice & ~8_Hospitalist | 8_Gynecology & ~8_FamilyGeneralPractice & ~8_InternalMedicine | 8_Gynecology & ~8_Hospitalist & ~8_InternalMedicine | 8_Hematology & 8_InfectiousDiseases & ~8_FamilyGeneralPractice & ~8_InternalMedicine | 8_Hematology & 8_InfectiousDiseases & ~8_Hospitalist & ~8_InternalMedicine | 8_Hematology & ~8_FamilyGeneralPractice & ~8_Hospitalist & ~8_InternalMedicine | 8_InfectiousDiseases & ~8_FamilyGeneralPractice & ~8_Hospitalist & ~8_InternalMedicine
0.07511289417743683	8_Hospitalist | 8_InfectiousDiseases & 8_Nephrology | 8_InternalMedicine & 8_Nephrology | 8_Nephrology & 8_Neurophysiology | 8_Nephrology & ~8_HematologyOncology | 8_Nephrology & ~8_Neurology | 8_Nephrology & ~8_Obsterics&Gynecology-GynecologicOnco | 8_InfectiousDiseases & 8_InternalMedicine & 8_Neurophysiology | 8_InfectiousDiseases & 8_InternalMedicine & ~8_HematologyOncology | 8_InfectiousDiseases & 8_InternalMedicine & ~8_Neurology | 8_InfectiousDiseases & 8_InternalMedicine & ~8_Obsterics&Gynecology-GynecologicOnco | 8_InfectiousDiseases & 8_Neurophysiology & ~8_HematologyOncology | 8_InfectiousDiseases & 8_Neurophysiology & ~8_Obsterics&Gynecology-GynecologicOnco | 8_InfectiousDiseases & ~8_HematologyOncology & ~8_Neurology | 8_InfectiousDiseases & ~8_HematologyOncology & ~8_Obsterics&Gynecology-GynecologicOnco | 8_InfectiousDiseases & ~8_Neurology & ~8_Obsterics&Gynecology-GynecologicOnco | 8_InternalMedicine & 8_Neurophysiology & ~8_HematologyOncology & ~8_Obsterics&Gynecology-GynecologicOnco | 8_InternalMedicine & 8_Neurophysiology & ~8_Neurology & ~8_Obsterics&Gynecology-GynecologicOnco | 8_InternalMedicine & ~8_HematologyOncology & ~8_Neurology & ~8_Obsterics&Gynecology-GynecologicOnco | 8_Neurophysiology & ~8_HematologyOncology & ~8_Neurology & ~8_Obsterics&Gynecology-GynecologicOnco
0.09854695200920105	8_Neurology | 8_Neurophysiology & 8_Obstetrics | 8_Obsterics&Gynecology-GynecologicOnco & 8_Obstetrics | 8_Obstetrics & 8_Oncology | 8_Obstetrics & ~8_Nephrology | 8_Obstetrics & ~8_ObstetricsandGynecology | 8_Obstetrics & ~8_Ophthalmology | 8_Neurophysiology & 8_Obsterics&Gynecology-GynecologicOnco & 8_Oncology | 8_Neurophysiology & 8_Obsterics&Gynecology-GynecologicOnco & ~8_Nephrology | 8_Neurophysiology & 8_Obsterics&Gynecology-GynecologicOnco & ~8_ObstetricsandGynecology | 8_Neurophysiology & 8_Obsterics&Gynecology-GynecologicOnco & ~8_Ophthalmology | 8_Neurophysiology & 8_Oncology & ~8_Nephrology | 8_Neurophysiology & 8_Oncology & ~8_Ophthalmology | 8_Neurophysiology & ~8_Nephrology & ~8_ObstetricsandGynecology | 8_Neurophysiology & ~8_Nephrology & ~8_Ophthalmology | 8_Neurophysiology & ~8_ObstetricsandGynecology & ~8_Ophthalmology | 8_Obsterics&Gynecology-GynecologicOnco & 8_Oncology & ~8_Nephrology & ~8_Ophthalmology | 8_Obsterics&Gynecology-GynecologicOnco & 8_Oncology & ~8_ObstetricsandGynecology & ~8_Ophthalmology | 8_Obsterics&Gynecology-GynecologicOnco & ~8_Nephrology & ~8_ObstetricsandGynecology & ~8_Ophthalmology | 8_Oncology & ~8_Nephrology & ~8_ObstetricsandGynecology & ~8_Ophthalmology
0.07128249108791351	8_ObstetricsandGynecology | 8_Oncology & 8_Orthopedics | 8_Ophthalmology & 8_Orthopedics | 8_Orthopedics & 8_Osteopath | 8_Orthopedics & ~8_Obstetrics | 8_Orthopedics & ~8_Orthopedics-Reconstructive | 8_Orthopedics & ~8_Otolaryngology | 8_Oncology & 8_Ophthalmology & 8_Osteopath | 8_Oncology & 8_Ophthalmology & ~8_Obstetrics | 8_Oncology & 8_Ophthalmology & ~8_Orthopedics-Reconstructive | 8_Oncology & 8_Ophthalmology & ~8_Otolaryngology | 8_Oncology & 8_Osteopath & ~8_Obstetrics | 8_Oncology & 8_Osteopath & ~8_Otolaryngology | 8_Oncology & ~8_Obstetrics & ~8_Orthopedics-Reconstructive | 8_Oncology & ~8_Obstetrics & ~8_Otolaryngology | 8_Oncology & ~8_Orthopedics-Reconstructive & ~8_Otolaryngology | 8_Ophthalmology & 8_Osteopath & ~8_Obstetrics & ~8_Otolaryngology | 8_Ophthalmology & 8_Osteopath & ~8_Orthopedics-Reconstructive & ~8_Otolaryngology | 8_Ophthalmology & ~8_Obstetrics & ~8_Orthopedics-Reconstructive & ~8_Otolaryngology | 8_Osteopath & ~8_Obstetrics & ~8_Orthopedics-Reconstructive & ~8_Otolaryngology
-0.12187352776527405	8_Orthopedics-Reconstructive | 8_Osteopath & 8_OutreachServices | 8_Otolaryngology & 8_OutreachServices | 8_OutreachServices & 8_Pediatrics | 8_OutreachServices & ~8_Orthopedics | 8_OutreachServices & ~8_Pathology | 8_OutreachServices & ~8_Pediatrics-AllergyandImmunology | 8_Osteopath & 8_Otolaryngology & 8_Pediatrics | 8_Osteopath & 8_Otolaryngology & ~8_Orthopedics | 8_Osteopath & 8_Otolaryngology & ~8_Pathology | 8_Osteopath & 8_Otolaryngology & ~8_Pediatrics-AllergyandImmunology | 8_Osteopath & 8_Pediatrics & ~8_Orthopedics | 8_Osteopath & 8_Pediatrics & ~8_Pediatrics-AllergyandImmunology | 8_Osteopath & ~8_Orthopedics & ~8_Pathology | 8_Osteopath & ~8_Orthopedics & ~8_Pediatrics-AllergyandImmunology | 8_Osteopath & ~8_Pathology & ~8_Pediatrics-AllergyandImmunology | 8_Otolaryngology & 8_Pediatrics & ~8_Orthopedics & ~8_Pediatrics-AllergyandImmunology | 8_Otolaryngology & 8_Pediatrics & ~8_Pathology & ~8_Pediatrics-AllergyandImmunology | 8_Otolaryngology & ~8_Orthopedics & ~8_Pathology & ~8_Pediatrics-AllergyandImmunology | 8_Pediatrics & ~8_Orthopedics & ~8_Pathology & ~8_Pediatrics-AllergyandImmunology
-0.18261082470417023	8_Pathology | 8_Pediatrics & 8_Pediatrics-CriticalCare | 8_Pediatrics-AllergyandImmunology & 8_Pediatrics-CriticalCare | 8_Pediatrics-CriticalCare & 8_Pediatrics-Endocrinology | 8_Pediatrics-CriticalCare & ~8_OutreachServices | 8_Pediatrics-CriticalCare & ~8_Pediatrics-EmergencyMedicine | 8_Pediatrics-CriticalCare & ~8_Pediatrics-Hematology-Oncology | 8_Pediatrics & 8_Pediatrics-AllergyandImmunology & 8_Pediatrics-Endocrinology | 8_Pediatrics & 8_Pediatrics-AllergyandImmunology & ~8_OutreachServices | 8_Pediatrics & 8_Pediatrics-AllergyandImmunology & ~8_Pediatrics-EmergencyMedicine | 8_Pediatrics & 8_Pediatrics-AllergyandImmunology & ~8_Pediatrics-Hematology-Oncology | 8_Pediatrics & 8_Pediatrics-Endocrinology & ~8_OutreachServices | 8_Pediatrics & 8_Pediatrics-Endocrinology & ~8_Pediatrics-Hematology-Oncology | 8_Pediatrics & ~8_OutreachServices & ~8_Pediatrics-EmergencyMedicine | 8_Pediatrics & ~8_OutreachServices & ~8_Pediatrics-Hematology-Oncology | 8_Pediatrics & ~8_Pediatrics-EmergencyMedicine & ~8_Pediatrics-Hematology-Oncology | 8_Pediatrics-AllergyandImmunology & 8_Pediatrics-Endocrinology & ~8_OutreachServices & ~8_Pediatrics-Hematology-Oncology | 8_Pediatrics-AllergyandImmunology & 8_Pediatrics-Endocrinology & ~8_Pediatrics-EmergencyMedicine & ~8_Pediatrics-Hematology-Oncology | 8_Pediatrics-AllergyandImmunology & ~8_OutreachServices & ~8_Pediatrics-EmergencyMedicine & ~8_Pediatrics-Hematology-Oncology | 8_Pediatrics-Endocrinology & ~8_OutreachServices & ~8_Pediatrics-EmergencyMedicine & ~8_Pediatrics-Hematology-Oncology
